  251	   79	  547	   76	  480	 9126	  791	   63	
 9122	 8200	 1174	  459	  258	  731	 9085	 8435	
    9	 8426	 8476	  113	 9404	 8906	 1267	  323	
 8926	 8670	 1619	  272	   35	  683	  228	 8293	
  484	 8225	 8437	 8270	  839	    0	 9278	 8509	
  233	 8797	   29	  324	 9061	 8915	 2406	  440	
  203	  231	 8737	 8406	    5	  183	 1069	  240	
  388	   66	  122	 8344	 8365	 8867	 9124	  201	
  412	 8692	 8583	 8663	  216	 8226	  184	  221	
 8551	  133	 8833	 8300	  457	 8824	 8479	  434	
 8526	  520	  975	  103	  859	  529	 9565	 8427	
   37	  606	   72	 8201	  777	 8787	 9721	   43	
 1066	  441	 9812	 8928	  524	 8535	 8822	 8648	
  298	   58	 9090	 8439	  414	 8811	 8662	  325	
 9323	  835	   61	    0	 8352	   79	  792	  405	
  627	 8401	 9738	 8526	 8693	  217	  381	 8347	
 8697	  293	  226	  639	  729	 1120	 9468	 8625	
  563	  400	 8239	  121	  363	  454	 8575	 8724	
  363	 9532	  502	  395	 9329	  669	  942	 8651	
 1276	  220	 9181	 8476	  943	 9325	 9288	 8351	
 8206	  729	  438	 8588	 1561	 8498	 9714	 8712	
  312	 9056	 1124	  197	 8728	  169	  879	 8399	
 1232	  814	 8993	 8284	  914	 9481	 9438	 8282	
 8767	  231	 8667	 8207	 9298	 8231	  935	  257	
 9477	 8913	 2067	  135	 8555	 1231	  170	 8303	
 8212	  147	  127	  265	  757	 8726	  459	   27	
  237	  302	  587	   25	  670	  277	   41	 8521	
 9207	 1130	  476	  386	  275	  757	  557	 8231	
 8954	 8287	  632	 8581	 8932	  542	 8202	 8478	
  791	 8384	 8948	 8677	 8231	 8289	 9347	 8422	
 8280	  133	  933	   24	 8475	 9055	  775	  167	
  232	  855	 8686	 8602	 1193	 8507	10406	 8570	
 9047	 9049	 1398	 8238	 9075	 1106	 1245	  108	
 9509	 8491	  529	  279	 9642	  581	 2098	  329	
 8196	 1044	  433	 8874	  822	 8826	 9526	   15	
 8523	   13	  840	  377	   29	 1129	 9056	 8853	
  771	  122	 8585	 8628	  116	 8655	 9305	   45	
 8777	  351	   71	  428	  650	 8229	 8359	 8388	
   94	  265	 8845	   48	 8590	 8467	 2097	  273	
 8926	 8351	 1866	  806	  717	 8456	 8203	 8385	
   76	  249	 8636	  167	 8796	 8597	 2049	  541	
 8438	  386	 8427	 8784	  708	  248	 9560	 8305	
 8925	  257	  858	  740	  672	   41	    1	    7	
  511	 8488	  786	  107	 8415	 8415	    0	  161	
  692	  402	 8617	 8682	 8691	 8980	 1209	 8562	
 8582	 8962	   76	  553	 8261	 1441	 9018	   26	
 8832	 8870	 8249	  604	 9023	  312	  418	  492	
  863	   97	 8356	  392	  750	 9598	  108	  146	
 8660	  311	 8852	 8405	 8750	  320	  638	  450	
 8895	   14	  968	  326	 9075	 8363	 1386	  151	
  728	 8353	  579	 8368	  747	 9061	 8947	 8271	
  169	 8862	 8613	 8320	 9386	  995	  453	 8222	
   96	 8546	  315	  315	  641	  294	 8608	   73	
 9033	   20	  355	  152	 8693	 8316	 1578	  609	
   80	  309	 9103	    4	 8227	 8538	  393	  648	
  460	 8225	 8889	 8337	  601	 8931	 8700	 8595	
  424	 8377	 8541	 8445	 8717	  524	  608	 8360	
  438	 8805	 8942	  256	 8339	    0	 8211	  657	
 1028	 8386	 9350	 8298	 8213	  457	 9183	 8243	
  645	  127	 8229	 8461	  338	 8828	 9538	 8665	
 9034	 9260	 1548	  265	 8509	  828	 8406	 8255	
 8584	 9904	  520	   98	 9300	  733	  148	 8279	
 8483	  255	  394	  632	  128	  601	  432	 8911	
 8268	 8848	 1010	  139	 8868	 1121	  907	 8904	
 8896	 8531	  451	 8305	 8421	  275	 8464	  121	
  629	  814	 8256	 8427	  474	 9121	 9132	 8345	
 1207	  367	 8952	 8377	  657	 8951	 8737	   62	
 8900	  791	 1035	 8553	 8358	  710	  218	  289	
 8436	 8447	 1476	   28	  323	 8562	 8985	 8197	
 8508	 8706	  729	 8369	 8558	 8400	   25	 8499	
  458	 1002	 8958	 8437	 8831	 8594	 1641	   54	
 8416	 1241	 9021	 8431	  757	  218	 9027	 8487	
 8215	 8374	  161	  260	  679	  219	  183	  145	
 8747	 8550	  518	 8510	 8855	  206	  190	 8391	
 8618	  263	  366	  437	  228	  826	   78	 8527	
 8306	  856	 8211	 8317	 8610	 1136	  642	 8699	
  502	 8210	 8431	 8425	 8420	 8521	  380	 8699	
  286	  881	 9491	 8348	  591	 8494	 8584	 8228	
  329	 8483	 9319	  269	  168	  356	  134	 8348	
  422	   49	 8304	 8366	 8649	 8859	  780	  296	
 9209	 8898	  913	  557	  373	  138	 8441	 8427	
   12	 8286	 8932	 8312	 8914	 9395	  758	  959	
   74	  254	 8269	   27	  289	  359	 8977	  230	
 9062	   51	 1804	 8438	 8310	 1139	  120	 8664	
  153	  697	 9282	 8435	 9102	  422	 1482	   85	
  325	 8368	  753	  436	  870	  728	 9243	 8952	
 8707	 8450	  849	  219	 8888	  715	 8896	 8335	
 8739	  618	 1079	 8491	  280	 8557	 8331	 8453	
 1136	 8819	 8636	 8560	 8618	 8916	   93	  575	
  146	  320	  373	 8624	 8487	  886	  407	 8665	
  722	 9351	 9150	  285	  198	 8270	 8452	  250	
  630	  247	   27	 8232	   44	 8942	  922	 8336	
 8851	  871	  509	  501	  417	  459	 8412	 8680	
  252	   57	 8971	 8261	  436	   28	  747	  273	
  408	  245	  110	 8500	 1191	 8795	10334	 8704	
  402	  174	 9051	 8428	 8567	  279	  891	 8314	
  557	 9790	  115	 8393	 8809	 8455	 8741	  147	
 8232	  429	 8574	 8589	 8920	 8215	 8729	  271	
  162	  159	  405	    5	 8382	 8333	   26	 8576	
  183	 8769	 9317	 8508	 8899	 8799	  548	  134	
  635	 9315	 9178	   58	 8540	  931	 8315	 8325	
 1099	 1064	 9222	 8344	  218	 9234	  616	  350	
  751	 8767	 9026	   94	 9257	 8531	  638	  219	
  792	 1532	 9533	 8558	  488	 8994	  713	  233	
 9099	 8267	   18	  484	   61	 1075	  131	 8199	
    0	 9219	 1062	  317	 8932	  256	  580	  352	
 8964	 8354	  133	  148	  482	  214	    0	  547	
 9006	 8218	  727	 8284	  838	  440	 9355	  107	
 8235	 8522	  817	  347	  338	  135	    6	 8258	
  991	 9110	 8679	  119	 9190	 9557	 1113	  181	
 1018	 9056	10099	 8329	 9703	  158	 1166	  231	
  430	 8666	 8953	  320	  297	 9262	 8531	  413	
 8682	 9722	  594	  447	 9005	   34	  308	   73	
 9068	  623	 1256	  131	  863	 8264	 8976	 8538	
 8439	 8995	 8519	 8218	 8512	 8454	  338	  105	
 8249	 8412	 8385	   37	 8660	 9159	  584	  623	
 8319	 8594	  624	  115	 8261	 8198	 1299	  104	
  552	 9115	  160	 8461	 8989	 8386	  448	   96	
 9238	  224	 1366	  115	  845	 1755	 9895	 9011	
  138	  141	 8597	 8281	   61	 8583	 8237	  183	
  392	 9297	 8227	  470	 8982	 8877	 1240	  496	
 9039	 8793	  577	  284	 8622	  105	 1065	 8274	
  515	 8797	 9325	 8713	   78	 8247	 8469	   27	
 9031	 9116	  556	  106	 8825	  388	  292	  311	
 1265	 8301	 8907	 8512	   73	 9570	 8244	  404	
 8842	 9153	  594	  575	 9353	  951	 1237	   36	
  986	 8243	 9746	 8677	 8543	 8221	 8614	  453	
 8982	  504	 1381	  346	 1200	 8457	 9346	 8664	
 8282	  202	 8624	 8297	  491	  436	 8915	  126	
 8364	  538	 1110	  348	 1183	 8829	 9202	 8384	
 8324	 1004	   24	 8369	 1264	  235	 9175	 8776	
  188	  951	 9097	 8341	  263	  754	  317	 8825	
 1041	 8416	 9294	 8450	 8298	 8933	  370	 8307	
  144	  203	  379	 8308	 8549	  388	 8364	 8754	
  697	  648	 8586	 8208	  995	  352	 9908	 8356	
  425	 1126	  270	 8511	 1672	 8852	 8926	 8519	
 8432	  217	  476	 8676	  461	 8660	 9378	 8380	
 9073	 8876	  154	  353	 8473	   60	 1120	   64	
  206	  442	 8456	 8558	  101	 8738	 9124	  244	
 8597	  608	 8902	 8788	  308	  708	 9698	 8269	
 8737	  866	  110	 8448	   81	 8380	   71	 8266	
  974	   35	 9809	 8669	 9251	 8919	 1564	  847	
  680	  269	 8617	 8973	 8569	 8591	  242	 8780	
  573	 8800	 8852	  419	 9096	   37	 1164	   59	
  147	 9489	 8475	  244	 9292	 8329	 1521	 8344	
